transfer,name,age,market_value,position,joined_ts,expires_ts,appearances,goals,assists,team_rank
1,Raya,29,40.00,0,1720051200,1845936000,32,0,0,0
1,Neto,35,2.00,0,1724976000,1751241600,32,0,0,0
0,Saliba,24,80.00,1,1564012800,1814313600,38,2,1,0
0,Magalhães,27,75.00,1,1598918400,1814313600,36,4,1,0
0,Kiwior,25,22.00,1,1674432000,1845936000,20,1,3,0
1,Calafiori,22,40.00,1,1722211200,1877472000,0,0,0,0
1,Lewis-Skelly,18,28.00,1,1719792000,0,0,0,0,0
0,Zinchenko,28,22.00,1,1658448000,1782777600,27,1,2,0
0,Tierney,27,10.00,1,1565222400,1751241600,0,0,0,0
0,White,27,50.00,1,1627603200,1845936000,37,4,4,0
0,Timber,23,50.00,1,1689292800,1845936000,2,0,0,0
0,Tomiyasu,26,25.00,1,1630368000,1782777600,22,2,1,0
0,Partey,31,15.00,2,1601856000,1751241600,14,0,0,0
0,Jorginho,33,8.00,2,1675123200,1751241600,24,0,2,0
0,Rice,26,110.00,2,1689379200,1845936000,38,7,9,0
1,Merino,28,35.00,2,1724716800,1845936000,0,0,0,0
0,Ødegaard,26,100.00,2,1629417600,1845936000,35,8,11,0
0,Martinelli,23,55.00,3,1562025600,1814313600,35,6,4,0
0,Trossard,30,30.00,3,1674172800,1782777600,34,12,2,0
0,Saka,23,150.00,3,1561939200,1814313600,35,16,12,0
1,Nwaneri,18,55.00,3,1719792000,1909008000,1,0,0,0
1,Sterling,30,15.00,3,1724976000,1751241600,31,8,7,0
0,Havertz,25,70.00,3,1688169600,1845936000,37,13,8,0
0,Jesus,28,40.00,3,1656892800,1814313600,27,4,7,0
