Player,Birth,Market Value
In-jae Hwang,"Apr 22, 1994 (30)",€550k
Pyeong-guk Yun,"Feb 8, 1992 (33)",€200k
Sung-min Hong,"Sep 29, 2006 (18)",€75k
Neung Kwon,"Oct 13, 2005 (19)",N/A
Dong-hee Lee,"Feb 7, 2000 (25)",€450k
Min-kwang Jeon,"Jan 17, 1993 (32)",€400k
Jonathan Aspropotamitis,"Jun 7, 1996 (28)",€300k
Hyeon-seo Han,"Jan 2, 2004 (21)",N/A
Jun-young Cha,"May 10, 2004 (20)",N/A
Tae-seok Lee,"Jul 28, 2002 (22)",€650k
Dong-hyeop Lee,"Mar 12, 2003 (22)",€75k
Jeong-won Eo,"Jul 8, 1999 (25)",€325k
Kwang-hoon Shin,"Mar 18, 1987 (38)",€150k
Min-jun Kang,"Apr 8, 2003 (21)",N/A
Chang-woo Lee,"Mar 12, 2006 (19)",N/A
Oberdan,"Jul 30, 1995 (29)",€1.00m
Dong-min Kim,"Feb 22, 2005 (20)",N/A
Seung-won Baek,"Feb 15, 2006 (19)",N/A
Jong-woo Kim,"Oct 1, 1993 (31)",€350k
Chan-hee Han,"Mar 17, 1997 (28)",€325k
Dong-jin Kim,"Jul 30, 2003 (21)",€225k
Seo-woong Hwang,"Jan 22, 2005 (20)",€50k
Ji-woo Hong,"Apr 17, 2003 (21)",N/A
Jae-hun Cho,"Jun 29, 2003 (21)",€150k
Hyeon-je Kang,"Aug 31, 2002 (22)",€125k
Yun-sang Hong,"Mar 19, 2002 (22)",€450k
Sung-dong Paik,"Aug 13, 1991 (33)",€400k
In-sung Kim,"Sep 9, 1989 (35)",€375k
Wanderson,"Mar 31, 1989 (35)",€200k
Kyu-min Lee,"Sep 28, 2005 (19)",N/A
Heon-jae Lee,"Mar 23, 2006 (18)",N/A
Juninho Rocha,"Nov 5, 1997 (27)",€450k
Beom-su Kim,"Apr 8, 2000 (24)",€250k
Ho-jae Lee,"Oct 14, 2000 (24)",€450k
Jorge Teixeira,"Jun 21, 1999 (25)",€300k
Jae-joon An,"Apr 13, 2001 (23)",€275k
Sang-hyeok Cho,"Jan 23, 2004 (21)",N/A
