Player,Birth,Position,Market Value,Contract,Joined
Alex McCarthy,"Dec 3, 1989 (31)",Goalkeeper,€5.00m,N/A,N/A
Angus Gunn,"Jan 22, 1996 (25)",Goalkeeper,€3.00m,N/A,N/A
Fraser Forster,"Mar 17, 1988 (33)",Goalkeeper,€3.00m,N/A,N/A
Harry Lewis,"Dec 20, 1997 (23)",Goalkeeper,€200k,N/A,N/A
Jan Bednarek,"Apr 12, 1996 (25)",Defender - Centre-Back,€25.00m,N/A,N/A
Jannik Vestergaard,"Aug 3, 1992 (28)",Defender - Centre-Back,€18.00m,N/A,N/A
Mohammed Salisu,"Apr 17, 1999 (22)",Defender - Centre-Back,€10.00m,N/A,N/A
Jack Stephens,"Jan 27, 1994 (27)",Defender - Centre-Back,€5.00m,N/A,N/A
Allan Tchaptchet,"Dec 21, 2001 (19)",Defender - Centre-Back,€150k,N/A,N/A
Ryan Bertrand,"Aug 5, 1989 (31)",Defender - Left-Back,€8.00m,N/A,N/A
Sam McQueen,"Feb 6, 1995 (26)",Defender - Left-Back,€800k,N/A,N/A
Jake Vokins,"Mar 17, 2000 (21)",Defender - Left-Back,€250k,N/A,N/A
Kyle Walker-Peters,"Apr 13, 1997 (24)",Defender - Right-Back,€18.00m,N/A,N/A
Yan Valery,"Feb 22, 1999 (22)",Defender - Right-Back,€3.00m,N/A,N/A
Kayne Ramsay,"Oct 10, 2000 (20)",Defender - Right-Back,€250k,N/A,N/A
Ibrahima Diallo,"Mar 8, 1999 (22)",Midfield - Defensive Midfield,€15.00m,N/A,N/A
Mario Lemina,"Sep 1, 1993 (27)",Midfield - Defensive Midfield,€10.00m,N/A,N/A
Oriol Romeu,"Sep 24, 1991 (29)",Midfield - Defensive Midfield,€6.00m,N/A,N/A
James Ward-Prowse,"Nov 1, 1994 (26)",Midfield - Central Midfield,€30.00m,N/A,N/A
Stuart Armstrong,"Mar 30, 1992 (29)",Midfield - Central Midfield,€8.00m,N/A,N/A
Will Smallbone,"Feb 21, 2000 (21)",Midfield - Central Midfield,€2.00m,N/A,N/A
Alexandre Jankewitz,"Dec 25, 2001 (19)",Midfield - Central Midfield,€500k,N/A,N/A
Ryan Finnigan,"Sep 23, 2003 (17)",Midfield - Central Midfield,€150k,N/A,N/A
Kgaogelo Chauke,"Jan 8, 2003 (18)",Midfield - Central Midfield,€150k,N/A,N/A
Nathan Tella,"Jul 5, 1999 (21)",Midfield - Right Midfield,€2.00m,N/A,N/A
Will Ferry,"Dec 7, 2000 (20)",Midfield - Left Midfield,N/A,N/A,N/A
Caleb Watts,"Jan 16, 2002 (19)",Midfield - Attacking Midfield,€250k,N/A,N/A
Jake Hesketh,"Mar 27, 1996 (25)",Midfield - Attacking Midfield,€200k,N/A,N/A
Moussa Djenepo,"Jun 15, 1998 (23)",Attack - Left Winger,€13.00m,N/A,N/A
Takumi Minamino,"Jan 16, 1995 (26)",Attack - Left Winger,€12.00m,N/A,N/A
Nathan Redmond,"Mar 6, 1994 (27)",Attack - Right Winger,€18.00m,N/A,N/A
Mohamed Elyounoussi,"Aug 4, 1994 (26)",Attack - Right Winger,€12.00m,N/A,N/A
Theo Walcott,"Mar 16, 1989 (32)",Attack - Right Winger,€5.00m,N/A,N/A
Josh Sims,"Mar 28, 1997 (24)",Attack - Right Winger,€1.20m,N/A,N/A
Danny Ings,"Jul 23, 1992 (28)",Attack - Centre-Forward,€22.00m,N/A,N/A
Ché Adams,"Jul 13, 1996 (24)",Attack - Centre-Forward,€20.00m,N/A,N/A
Michael Obafemi,"Jul 6, 2000 (20)",Attack - Centre-Forward,€3.00m,N/A,N/A
Dan Nlundulu,"Feb 5, 1999 (22)",Attack - Centre-Forward,€1.50m,N/A,N/A
Shane Long,"Jan 22, 1987 (34)",Attack - Centre-Forward,€1.20m,N/A,N/A
